elotag,csaladinev,keresztnev,kersztnev2,full name,szuletesi ev,szuletes hely,szuletesi orszag,allampolgarsag,szuletesi nev,edesanyja neve,orszag,kozterulet neve,tipusa,telepules,iranyitoszam,teljes_cim,email,telfonszamotthoni,telfonszammobil,telfonszamfax,okmanyszam,okmanytipus,ervenyessegiido
,Basilius,Carnoghan,, Basilius Carnoghan ,1989-09-24,Budapest,Hungary,HU,Basilius Carnoghan ,Myrah Lain,Hungary,Királyfürdő u. 4,nem meghatározott,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,98-278-7971,utlevel,2022-06-10
,Truman,Kagan,, Truman Kagan ,1957-11-24,Budapest,Hungary,HU,Truman Kagan ,Felisha Boxall,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,57-811-0315,egyebIgazolvany,2019-03-03
dr.,Gerome,Gowanlock,Lansdowne,dr. Gerome Gowanlock Lansdowne,1976-03-26,Budapest,Hungary,HU,Gerome Gowanlock Lansdowne,Rubia Ayerst,Hungary,Királyfürdő u. 4,állandó lakcím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,90-892-2457,adoazonosito,2019-05-08
,Carmina,Rantoull,, Carmina Rantoull ,1967-05-02,Esztergom,Hungary,HU,Carmina Rantoull ,Georgia McDyer,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,74-971-3926,adoazonosito,2019-04-09
,Corey,Ianilli,, Corey Ianilli ,1971-11-12,Esztergom,Hungary,HU,Corey Ianilli ,Vikky Asser,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,93-628-5495,adoazonosito,2022-01-26
,Henrieta,Meconi,, Henrieta Meconi ,1963-05-26,Esztergom,Hungary,HU,Henrieta Meconi ,Daniele Christal,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,16-011-1551,lakcimkartya,2018-11-09
,Cornelius,Hazeup,, Cornelius Hazeup ,1969-01-17,Esztergom,Hungary,HU,Cornelius Hazeup ,Vivie Ruperti,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,48-789-4093,egyebIgazolvany,2020-11-07
,Shanda,Mongenot,, Shanda Mongenot ,1969-10-14,Budapest,Hungary,HU,Shanda Mongenot ,Gratiana Rainsden,Hungary,Királyfürdő u. 4,postai cím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,69-775-5514,jogositvany,2020-04-27
,Xylia,Kee,, Xylia Kee ,1973-10-15,Esztergom,Hungary,HU,Xylia Kee ,Grier Regan,Hungary,Királyfürdő u. 4,postai cím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,04-207-7133,lakcimkartya,2022-08-11
Dr.,Alfy,Hayhow,Lingley,Dr. Alfy Hayhow Lingley,1999-04-11,Szeged,Hungary,HU,Alfy Hayhow Lingley,Guglielma De Beauchamp,Hungary,Királyfürdő u. 4,állandó lakcím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,49-868-0158,lakcimkartya,2019-05-05
